[2022-02-04 10:59:01:807][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 15410 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 10:59:01:816][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 11:00:57:785][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 15472 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 11:00:57:792][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 11:13:05:801][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 15869 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 11:13:05:805][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 11:13:55:894][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 15895 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 11:13:55:900][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 11:31:07:803][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 16569 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 11:31:07:808][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 11:40:04:779][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 17015 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 11:40:04:783][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
[2022-02-04 11:40:52:504][main] INFO  com.airov.NearSolutionApplication - Starting NearSolutionApplication on MacBook-Pro with PID 17037 (/Users/admin/Documents/GitHub/nearsolution_homepage/target/classes started by admin in /Users/admin/Documents/GitHub/nearsolution_homepage)
[2022-02-04 11:40:52:510][main] INFO  com.airov.NearSolutionApplication - No active profile set, falling back to default profiles: default
